Date,Vaccine_type,Doses_per_Day,OBJECTID
2021/03/04,Moderna,24,192
2021/03/04,Pfizer,1793,193
2021/03/05,AstraZeneca,3,194
2021/03/05,Moderna,15,195
2021/03/05,Pfizer,1677,196
2021/03/06,AstraZeneca,1,197
2021/03/06,Janssen Inc.,2,198
2021/03/06,Moderna,10,199
2021/03/06,None,1,200
2021/03/06,Pfizer,1854,201
2021/03/07,AstraZeneca,3,202
2021/03/07,Moderna,998,203
2021/03/07,None,2,204
2021/03/07,Pfizer,1565,205
2021/03/08,AstraZeneca,6,206
2021/03/08,Moderna,829,207
2021/03/08,Pfizer,1659,208
2021/03/09,AstraZeneca,1,209
2021/03/09,Janssen Inc.,2,210
2021/03/09,Moderna,737,211
2021/03/09,Pfizer,1650,212
2021/03/10,AstraZeneca,5,213
2021/03/10,Janssen Inc.,2,214
2021/03/10,Moderna,790,215
2021/03/10,None,1,216
2021/03/10,Pfizer,1330,217
2021/03/11,AstraZeneca,3,218
2021/03/11,Moderna,15,219
2021/03/11,None,2,220
2021/03/11,Pfizer,1351,221
2021/03/12,AstraZeneca,123,222
2021/03/12,Janssen Inc.,2,223
2021/03/12,Moderna,473,224
2021/03/12,Pfizer,1703,225
2021/03/13,AstraZeneca,286,226
2021/03/13,Moderna,8,227
2021/03/13,Pfizer,1703,228
2021/03/14,AstraZeneca,352,229
2021/03/14,Janssen Inc.,2,230
2021/03/14,Moderna,550,231
2021/03/14,Pfizer,1276,232
2021/03/15,AstraZeneca,358,233
2021/03/15,Janssen Inc.,6,234
2021/03/15,Moderna,544,235
2021/03/15,None,1,236
2021/03/15,Pfizer,1426,237
2021/03/16,AstraZeneca,622,238
2021/03/16,Janssen Inc.,4,239
2021/03/16,Moderna,559,240
2021/03/16,Pfizer,1575,241
2021/03/17,AstraZeneca,397,242
2021/03/17,Janssen Inc.,6,243
2021/03/17,Moderna,546,244
2021/03/17,Pfizer,1756,245
2021/03/18,AstraZeneca,439,246
2021/03/18,Moderna,581,247
2021/03/18,None,1,248
2021/03/18,Pfizer,1910,249
2021/03/19,AstraZeneca,362,250
2021/03/19,Janssen Inc.,2,251
2021/03/19,Moderna,553,252
2021/03/19,Pfizer,1903,253
2021/03/20,AstraZeneca,347,254
2021/03/20,Janssen Inc.,4,255
2021/03/20,Moderna,527,256
2021/03/20,Pfizer,685,257
2021/03/21,AstraZeneca,210,258
2021/03/21,Janssen Inc.,2,259
2021/03/21,Moderna,522,260
2021/03/21,Pfizer,314,261
2021/03/22,AstraZeneca,216,262
2021/03/22,Janssen Inc.,2,263
2021/03/22,Moderna,523,264
2021/03/22,None,2,265
2021/03/22,Pfizer,1401,266
2021/03/23,AstraZeneca,155,267
2021/03/23,Janssen Inc.,2,268
2021/03/23,Moderna,794,269
2021/03/23,Pfizer,4657,270
2021/03/24,AstraZeneca,185,271
2021/03/24,Janssen Inc.,6,272
2021/03/24,Moderna,576,273
2021/03/24,Pfizer,4931,274
2021/03/25,AstraZeneca,164,275
2021/03/25,Janssen Inc.,12,276
2021/03/25,Moderna,22,277
2021/03/25,None,1,278
2021/03/25,Pfizer,5405,279
2021/03/26,AstraZeneca,145,280
2021/03/26,Moderna,22,281
2021/03/26,Pfizer,3672,282
2021/03/27,AstraZeneca,101,283
2021/03/27,Moderna,24,284
2021/03/27,Pfizer,4234,285
2021/03/28,AstraZeneca,80,286
2021/03/28,Moderna,13,287
2021/03/28,Pfizer,3207,288
2021/03/29,AstraZeneca,115,289
2021/03/29,Janssen Inc.,2,290
2021/03/29,Moderna,36,291
2021/03/29,None,2,292
2021/03/29,Pfizer,4224,293
2021/03/30,AstraZeneca,88,294
2021/03/30,Janssen Inc.,2,295
2021/03/30,Moderna,32,296
2021/03/30,None,1,297
2021/03/30,Pfizer,4887,298
2021/03/31,AstraZeneca,74,299
2021/03/31,Janssen Inc.,6,300
2021/03/31,Moderna,30,301
2021/03/31,None,2,302
2021/03/31,Pfizer,5046,303
2021/04/01,AstraZeneca,46,304
2021/04/01,Janssen Inc.,8,305
2021/04/01,Moderna,25,306
2021/04/01,None,2,307
2021/04/01,Pfizer,5240,308
2021/04/02,AstraZeneca,12,309
2021/04/02,Janssen Inc.,2,310
2021/04/02,Moderna,14,311
2021/04/02,Pfizer,4588,312
2021/04/03,AstraZeneca,136,313
2021/04/03,Moderna,7,314
2021/04/03,None,1,315
2021/04/03,Pfizer,6180,316
2021/04/04,AstraZeneca,242,317
2021/04/04,Janssen Inc.,2,318
2021/04/04,Moderna,748,319
2021/04/04,Pfizer,3879,320
2021/04/05,AstraZeneca,669,321
2021/04/05,Janssen Inc.,8,322
2021/04/05,Moderna,750,323
2021/04/05,Pfizer,3514,324
2021/04/06,AstraZeneca,1644,325
2021/04/06,Janssen Inc.,4,326
2021/04/06,Moderna,778,327
2021/04/06,Pfizer,4393,328
2021/04/07,AstraZeneca,1679,329
2021/04/07,Janssen Inc.,7,330
2021/04/07,Moderna,756,331
2021/04/07,None,1,332
2021/04/07,Pfizer,4152,333
2021/04/08,AstraZeneca,1567,334
2021/04/08,Janssen Inc.,10,335
2021/04/08,Moderna,1873,336
2021/04/08,None,1,337
2021/04/08,Pfizer,4475,338
2021/04/09,AstraZeneca,1394,339
2021/04/09,Janssen Inc.,14,340
2021/04/09,Moderna,1799,341
2021/04/09,Pfizer,4169,342
2021/04/10,AstraZeneca,1168,343
2021/04/10,Janssen Inc.,11,344
2021/04/10,Moderna,1857,345
2021/04/10,Pfizer,4184,346
2021/04/11,AstraZeneca,909,347
2021/04/11,Janssen Inc.,14,348
2021/04/11,Moderna,2904,349
2021/04/11,None,1,350
2021/04/11,Pfizer,3107,351
2021/04/12,AstraZeneca,1596,352
2021/04/12,Janssen Inc.,8,353
2021/04/12,Moderna,3756,354
2021/04/12,None,1,355
2021/04/12,Pfizer,2849,356
2021/04/13,AstraZeneca,1559,357
2021/04/13,Moderna,923,358
2021/04/13,None,1,359
2021/04/13,Pfizer,5773,360
2021/04/14,AstraZeneca,1429,361
2021/04/14,Moderna,960,362
2021/04/14,None,1,363
2021/04/14,Pfizer,5655,364
2021/04/15,AstraZeneca,1943,365
2021/04/15,Moderna,1069,366
2021/04/15,None,0,367
2021/04/15,Pfizer,5769,368
2021/04/16,AstraZeneca,2088,369
2021/04/16,Moderna,3643,370
2021/04/16,Pfizer,3311,371
2021/04/17,AstraZeneca,1482,372
2021/04/17,Moderna,3177,373
2021/04/17,Pfizer,1865,374
2021/04/18,AstraZeneca,1145,375
2021/04/18,Moderna,3049,376
2021/04/18,None,1,377
2021/04/18,Pfizer,1675,378
2021/04/19,AstraZeneca,2562,379
2021/04/19,Moderna,2531,380
2021/04/19,None,2,381
2021/04/19,Pfizer,1862,382
2021/04/20,AstraZeneca,3659,383
2021/04/20,Moderna,2491,384
2021/04/20,None,1,385
2021/04/20,Pfizer,3088,386
2021/04/21,AstraZeneca,3074,387
2021/04/21,Moderna,2746,388
2021/04/21,None,2,389
2021/04/21,Pfizer,3226,390
2021/04/22,AstraZeneca,3209,391
2021/04/22,Moderna,2578,392
2021/04/22,Pfizer,3214,393
2021/04/23,AstraZeneca,3286,394
2021/04/23,Moderna,1904,395
2021/04/23,Pfizer,3919,396
2021/04/24,AstraZeneca,3719,397
2021/04/24,Moderna,1753,398
2021/04/24,Pfizer,3430,399
2021/04/25,AstraZeneca,1532,400
2021/04/25,Moderna,1705,401
2021/04/25,Pfizer,3170,402
2021/04/26,AstraZeneca,2865,403
2021/04/26,Moderna,1889,404
2021/04/26,None,1,405
2021/04/26,Pfizer,3424,406
2021/04/27,AstraZeneca,2371,407
2021/04/27,Janssen Inc.,6,408
2021/04/27,Moderna,1016,409
2021/04/27,Pfizer,3839,410
2021/04/28,AstraZeneca,2033,411
2021/04/28,Janssen Inc.,3,412
2021/04/28,Moderna,254,413
2021/04/28,None,1,414
2021/04/28,Pfizer,5501,415
2021/04/29,AstraZeneca,2034,416
2021/04/29,Moderna,392,417
2021/04/29,None,1,418
2021/04/29,Pfizer,5463,419
2021/04/30,AstraZeneca,1659,420
2021/04/30,Janssen Inc.,6,421
2021/04/30,Moderna,166,422
2021/04/30,None,2,423
2021/04/30,Pfizer,5658,424
2021/05/01,AstraZeneca,1374,425
2021/05/01,Janssen Inc.,4,426
2021/05/01,Moderna,1777,427
2021/05/01,Pfizer,2871,428
2021/05/02,AstraZeneca,633,429
2021/05/02,Moderna,1758,430
2021/05/02,None,1,431
2021/05/02,Pfizer,2075,432
2021/05/03,AstraZeneca,1276,433
2021/05/03,Janssen Inc.,6,434
2021/05/03,Moderna,1962,435
2021/05/03,None,2,436
2021/05/03,Pfizer,2756,437
2021/05/04,AstraZeneca,1181,438
2021/05/04,Janssen Inc.,4,439
2021/05/04,Moderna,260,440
2021/05/04,Pfizer,6160,441
2021/05/05,AstraZeneca,1041,442
2021/05/05,Janssen Inc.,8,443
2021/05/05,Moderna,851,444
2021/05/05,Pfizer,5853,445
2021/05/06,AstraZeneca,966,446
2021/05/06,Moderna,250,447
2021/05/06,None,2,448
2021/05/06,Pfizer,6385,449
2021/05/07,AstraZeneca,875,450
2021/05/07,Janssen Inc.,4,451
2021/05/07,Moderna,1094,452
2021/05/07,None,1,453
2021/05/07,Pfizer,5811,454
2021/05/08,AstraZeneca,1317,455
2021/05/08,Janssen Inc.,7,456
2021/05/08,Moderna,394,457
2021/05/08,None,1,458
2021/05/08,Pfizer,6421,459
2021/05/09,AstraZeneca,236,460
2021/05/09,Janssen Inc.,4,461
2021/05/09,Moderna,225,462
2021/05/09,None,1,463
2021/05/09,Pfizer,6183,464
2021/05/10,AstraZeneca,422,465
2021/05/10,Janssen Inc.,6,466
2021/05/10,Moderna,929,467
2021/05/10,Pfizer,5069,468
2021/05/11,AstraZeneca,424,469
2021/05/11,Janssen Inc.,2,470
2021/05/11,Moderna,1240,471
2021/05/11,None,1,472
2021/05/11,Pfizer,5126,473
2021/05/12,AstraZeneca,6,474
2021/05/12,Janssen Inc.,2,475
2021/05/12,Moderna,1061,476
2021/05/12,Pfizer,5400,477
2021/05/13,AstraZeneca,6,478
2021/05/13,Moderna,1196,479
2021/05/13,None,3,480
2021/05/13,Pfizer,5490,481
2021/05/14,AstraZeneca,1,482
2021/05/14,Janssen Inc.,0,483
2021/05/14,Moderna,1226,484
2021/05/14,None,1,485
2021/05/14,Pfizer,5887,486
2021/05/15,AstraZeneca,2,487
2021/05/15,Janssen Inc.,4,488
2021/05/15,Moderna,1139,489
2021/05/15,None,3,490
2021/05/15,Pfizer,8246,491
2021/05/16,AstraZeneca,2,492
2021/05/16,Moderna,818,493
2021/05/16,None,1,494
2021/05/16,Pfizer,6192,495
2021/05/17,AstraZeneca,3,496
2021/05/17,Moderna,2379,497
2021/05/17,Pfizer,4978,498
